timestamp_ms,label,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,gx_dps,gy_dps,gz_dps
21642,99,-6200,4940,14124,116,162,-213,0.89,1.24,-1.63
21654,99,-6260,4952,14164,174,41,-270,1.33,0.31,-2.06
21666,99,-6312,4916,14076,206,302,-282,1.57,2.3,-2.15
21678,99,-6212,4940,13956,309,252,-325,2.36,1.92,-2.48
21690,99,-6272,4992,14008,381,165,-353,2.91,1.26,-2.69
21702,99,-6284,4924,13920,383,285,-357,2.92,2.17,-2.72
21714,99,-6100,4988,13948,478,302,-368,3.65,2.3,-2.81
21747,99,-6232,4892,13852,427,246,-568,3.26,1.88,-4.33
21759,99,-6228,4956,13920,324,363,-559,2.47,2.77,-4.26
21771,99,-6376,4960,13908,290,381,-507,2.21,2.91,-3.87
21783,99,-6376,4984,13964,282,484,-511,2.15,3.69,-3.9
21795,99,-6284,4920,13856,250,421,-486,1.91,3.21,-3.71
21807,99,-6300,5020,14012,302,264,-526,2.3,2.01,-4.01
21819,99,-6320,5024,13944,303,246,-539,2.31,1.88,-4.11
21831,99,-6468,4964,13896,276,254,-517,2.11,1.94,-3.94
21843,99,-6452,4964,13896,198,425,-497,1.51,3.24,-3.79
21876,99,-6288,4776,13796,215,304,-564,1.64,2.32,-4.3
21888,99,-6120,4884,13976,189,394,-594,1.44,3.01,-4.53
21900,99,-6108,4828,13844,161,550,-712,1.23,4.2,-5.43
21912,99,-6180,4732,14008,128,540,-692,0.98,4.12,-5.28
21924,99,-6056,4876,14196,195,809,-743,1.49,6.17,-5.67
21936,99,-6092,4996,14100,310,872,-947,2.37,6.65,-7.23
21948,99,-6700,4980,14072,478,304,-896,3.65,2.32,-6.84
21960,99,-7124,4860,14116,418,-41,-764,3.19,-0.31,-5.83
21972,99,-7160,4712,14336,464,-416,-521,3.54,-3.17,-3.97
22005,99,-6684,4604,14188,670,-831,-218,5.11,-6.34,-1.66
22017,99,-6692,4668,13976,668,-722,-132,5.1,-5.51,-1.01
22029,99,-6588,4728,13856,506,-251,-166,3.86,-1.91,-1.27
22041,99,-6492,4696,13640,337,180,-195,2.57,1.37,-1.49
22053,99,-6372,4716,13680,214,516,-244,1.63,3.94,-1.86
22065,99,-6232,4836,13488,72,903,-362,0.55,6.89,-2.76
22077,99,-6344,5012,13424,-147,1154,-420,-1.12,8.8,-3.2
22089,99,-6704,5216,13172,-423,1285,-509,-3.23,9.8,-3.88
22101,99,-7196,5164,13376,-540,1050,-285,-4.12,8.01,-2.17
22134,99,-6576,4832,13104,-945,995,186,-7.21,7.59,1.42
22146,99,-6292,4992,13244,-1220,885,128,-9.31,6.75,0.98
22158,99,-6188,4972,13520,-1211,537,-24,-9.24,4.1,-0.18
22170,99,-6432,4776,13540,-1402,294,-130,-10.7,2.24,-0.99
22182,99,-7020,4788,14164,-1462,-109,-101,-11.15,-0.83,-0.77
22194,99,-7448,4508,14436,-1265,-282,246,-9.65,-2.15,1.88
22206,99,-7256,4396,14544,-1211,-1,570,-9.24,-0.01,4.35
22218,99,-6860,4364,14680,-989,-241,835,-7.55,-1.84,6.37
22230,99,-6644,4336,14500,-795,135,847,-6.07,1.03,6.46
22263,99,-6396,3980,14204,-522,579,495,-3.98,4.42,3.78
22275,99,-6400,3996,14160,-771,656,598,-5.88,5,4.56
22287,99,-6508,4096,14164,-643,831,462,-4.91,6.34,3.52
22299,99,-6524,4020,14136,-712,728,372,-5.43,5.55,2.84
22311,99,-6724,4216,13964,-740,653,419,-5.65,4.98,3.2
22323,99,-6588,4076,14180,-556,594,151,-4.24,4.53,1.15
22335,99,-6848,4168,14568,-447,64,277,-3.41,0.49,2.11
22347,99,-6812,4016,14312,-201,355,212,-1.53,2.71,1.62
22359,99,-6532,4100,14228,-281,422,180,-2.14,3.22,1.37
22392,99,-6292,3784,14252,-31,215,41,-0.24,1.64,0.31
22404,99,-6368,3892,14416,-124,154,25,-0.95,1.17,0.19
22416,99,-6396,3908,14312,-90,113,-128,-0.69,0.86,-0.98
22428,99,-6512,3872,14492,112,-91,-77,0.85,-0.69,-0.59
22440,99,-6548,3936,14488,239,-82,-73,1.82,-0.63,-0.56
22452,99,-6524,3924,14488,315,-27,-32,2.4,-0.21,-0.24
22464,99,-6440,3880,14480,341,16,-19,2.6,0.12,-0.14
22476,99,-6360,3984,14548,461,94,52,3.52,0.72,0.4
22488,99,-6292,3996,14448,555,406,-57,4.23,3.1,-0.43
22521,99,-6400,4160,14120,664,550,-411,5.07,4.2,-3.14
22533,99,-6388,4216,14184,594,599,-348,4.53,4.57,-2.66
22545,99,-6296,4380,14232,470,495,-408,3.59,3.78,-3.11
22557,99,-6320,4416,14144,385,490,-403,2.94,3.74,-3.07
22569,99,-6324,4412,14004,431,474,-485,3.29,3.62,-3.7
22581,99,-6508,4380,13816,383,635,-520,2.92,4.84,-3.97
22593,99,-6588,4448,13760,437,737,-458,3.33,5.62,-3.49
22605,99,-6588,4316,13716,288,755,-416,2.2,5.76,-3.17
22617,99,-6588,4368,13660,113,816,-442,0.86,6.23,-3.37
22650,99,-6848,4080,13724,-90,327,-277,-0.69,2.49,-2.11
22662,99,-6884,4112,14048,-175,425,-157,-1.34,3.24,-1.2
22674,99,-6968,4004,14016,-297,588,-82,-2.27,4.49,-0.63
22686,99,-6956,4080,14172,-285,730,17,-2.17,5.57,0.13
22698,99,-6872,4020,14104,-268,681,117,-2.04,5.2,0.89
22710,99,-6816,3984,14140,-287,497,250,-2.19,3.79,1.91
22722,99,-6712,4108,13944,-350,475,267,-2.67,3.62,2.04
22734,99,-6720,4036,14144,-339,520,280,-2.59,3.97,2.14
22746,99,-6656,4040,14104,-363,457,181,-2.77,3.49,1.38
22779,99,-6576,3824,14024,-227,531,106,-1.73,4.05,0.81
22791,99,-6616,3984,14248,-268,648,145,-2.04,4.94,1.11
22803,99,-6560,3924,14220,-278,746,116,-2.12,5.69,0.89
22815,99,-6612,3944,14356,-300,817,104,-2.29,6.23,0.79
22827,99,-6564,3908,14216,-299,608,119,-2.28,4.64,0.91
22839,99,-6648,3892,14232,-241,581,79,-1.84,4.43,0.6
22851,99,-6520,3836,14156,-243,508,136,-1.85,3.88,1.04
22863,99,-6532,3916,14316,-243,530,63,-1.85,4.04,0.48
22875,99,-6596,3888,14412,-27,497,1,-0.21,3.79,0.01
22908,99,-6708,3656,14140,194,686,-93,1.48,5.23,-0.71
22920,99,-6628,3836,14180,160,818,-72,1.22,6.24,-0.55
22932,99,-6708,3880,14140,243,668,-83,1.85,5.1,-0.63
22944,99,-6724,3844,14124,287,666,-133,2.19,5.08,-1.01
22956,99,-6864,3768,13924,242,777,-127,1.85,5.93,-0.97
22968,99,-6816,3880,13960,221,626,-133,1.69,4.78,-1.01
22980,99,-6852,3956,13940,204,625,-111,1.56,4.77,-0.85
22992,99,-6884,3864,13836,153,487,-116,1.17,3.72,-0.89
23004,99,-6932,3912,14060,158,451,-60,1.21,3.44,-0.46
23037,99,-6912,3796,13880,140,359,-54,1.07,2.74,-0.41
23049,99,-6788,3888,13988,138,262,66,1.05,2,0.5
23061,99,-6880,3836,13992,80,268,17,0.61,2.04,0.13
23073,99,-6796,3796,14092,47,339,17,0.36,2.59,0.13
23085,99,-6800,3772,13996,-72,360,45,-0.55,2.75,0.34
23097,99,-6784,3800,14052,-65,458,58,-0.5,3.49,0.44
23109,99,-6860,3708,14052,-159,588,422,-1.21,4.49,3.22
23121,99,-6524,3628,14104,71,701,-70,0.54,5.35,-0.53
23133,99,-6944,3896,14292,-83,553,-52,-0.63,4.22,-0.4
23166,99,-6796,3656,14248,330,510,-286,2.52,3.89,-2.18
23178,99,-6956,3632,14356,409,540,-115,3.12,4.12,-0.88
